MRNA,PFE,JNJ,GOOGL,FB,AAPL,COST,WMT,KR,JPM,BAC
17.049999237060547,34.94307327270508,129.5399932861328,61.58150100708008,,54.974998474121094,288.69000244140625,115.56999969482422,25.979999542236328,119.16000366210938,30.1299991607666
17.65999984741211,34.629981994628906,129.6699981689453,61.49399948120117,,55.17499923706055,291.4100036621094,116.51000213623047,25.649999618530273,118.56999969482422,29.940000534057617
17.780000686645508,34.51612854003906,130.41000366210938,61.63249969482422,,55.692501068115234,292.42999267578125,117.16000366210938,25.219999313354492,119.76000213623047,30.0
17.899999618530273,34.639469146728516,130.11000061035156,61.9375,,55.2400016784668,287.8299865722656,117.11000061035156,25.81999969482422,119.37999725341797,29.81999969482422
18.06999969482422,34.810245513916016,131.64999389648438,61.492000579833984,,54.432498931884766,286.3599853515625,116.9800033569336,25.68000030517578,118.9000015258789,29.59000015258789
17.829999923706055,34.38330078125,131.74000549316406,61.734500885009766,,54.68000030517578,287.57000732421875,117.62000274658203,25.719999313354492,118.87999725341797,29.520000457763672
17.81999969482422,34.16508483886719,131.5500030517578,60.916500091552734,,54.41999816894531,287.9100036621094,118.4000015258789,25.809999465942383,117.33000183105469,28.940000534057617
17.18000030517578,34.06072235107422,130.99000549316406,62.297000885009766,,55.25749969482422,288.510009765625,118.47000122070312,25.770000457763672,118.0,29.25
16.34000015258789,33.946868896484375,128.85000610351562,62.114498138427734,,54.97249984741211,288.260009765625,118.30000305175781,25.780000686645508,117.02999877929688,29.1299991607666
15.899999618530273,34.36432647705078,128.60000610351562,61.29750061035156,,54.70500183105469,285.95001220703125,118.44999694824219,25.739999771118164,117.72000122070312,29.350000381469727
15.920000076293945,34.08918380737305,129.3800048828125,61.05699920654297,,55.99250030517578,288.1099853515625,118.68000030517578,25.780000686645508,117.69000244140625,29.170000076293945
14.8100004196167,33.61479949951172,129.99000549316406,60.29999923706055,,56.147499084472656,283.92999267578125,117.8499984741211,25.59000015258789,115.55000305175781,28.440000534057617
14.859999656677246,32.92219924926758,132.0,58.895999908447266,,54.7400016784668,285.1099853515625,116.12000274658203,25.049999237060547,113.25,27.84000015258789
15.069999694824219,33.6337776184082,131.19000244140625,59.471500396728516,,55.20500183105469,289.0,116.30999755859375,24.59000015258789,112.19000244140625,27.809999465942383
15.510000228881836,34.08918380737305,133.66000366210938,60.54800033569336,,56.752498626708984,291.6700134277344,118.16000366210938,24.790000915527344,114.62000274658203,28.3700008392334
15.470000267028809,33.99430847167969,133.16000366210938,60.412498474121094,,56.76499938964844,293.4100036621094,117.2300033569336,24.84000015258789,114.37000274658203,28.309999465942383
15.3100004196167,33.61479949951172,131.83999633789062,59.506500244140625,,56.099998474121094,291.8900146484375,117.58000183105469,24.459999084472656,111.81999969482422,27.6299991607666
14.199999809265137,33.861480712890625,129.22000122070312,60.119998931884766,,56.75749969482422,296.8999938964844,118.93000030517578,24.530000686645508,112.62999725341797,27.889999389648438
14.15999984741211,33.956356048583984,129.05999755859375,60.4734992980957,,57.522499084472656,297.1400146484375,119.61000061035156,23.84000015258789,114.20999908447266,28.450000762939453
14.055000305175781,34.25996017456055,131.3300018310547,60.785499572753906,,59.0525016784668,297.6000061035156,120.23999786376953,24.25,116.13999938964844,28.90999984741211
13.930000305175781,34.44022750854492,130.72000122070312,60.88850021362305,,58.967498779296875,297.5199890136719,119.16999816894531,24.100000381469727,116.44999694824219,29.139999389648438
14.329999923706055,34.629981994628906,132.83999633789062,62.11199951171875,,58.83000183105469,298.3900146484375,119.52999877929688,24.309999465942383,119.95999908447266,29.729999542236328
14.149999618530273,34.47817611694336,135.1699981689453,62.150001525878906,,58.592498779296875,298.7799987792969,119.41999816894531,24.510000228881836,119.68000030517578,30.170000076293945
14.539999961853027,34.5920295715332,136.1699981689453,62.63999938964844,,58.81999969482422,302.3999938964844,119.83999633789062,24.43000030517578,120.3499984741211,30.260000228881836
14.8100004196167,34.5920295715332,127.69999694824219,62.22050094604492,,59.102500915527344,302.8599853515625,119.13999938964844,23.940000534057617,120.55999755859375,30.350000381469727
15.5,34.5920295715332,128.02000427246094,62.2140007019043,,60.127498626708984,301.0799865722656,119.73999786376953,24.110000610351562,123.55000305175781,31.020000457763672
15.920000076293945,34.563568115234375,129.1999969482422,62.060001373291016,,59.9900016784668,299.9700012207031,119.58000183105469,24.850000381469727,124.79000091552734,31.200000762939453
16.899999618530273,34.886146545410156,129.89999389648438,62.881500244140625,,60.79499816894531,297.32000732421875,119.3499984741211,24.979999542236328,125.12000274658203,31.420000076293945
16.59000015258789,34.52561569213867,127.5,62.955501556396484,,60.89500045776367,297.04998779296875,119.0999984741211,24.93000030517578,125.02999877929688,31.360000610351562
17.010000228881836,34.886146545410156,128.35000610351562,63.21500015258789,,61.64500045776367,296.5,119.04000091552734,25.280000686645508,126.02999877929688,31.719999313354492
